E300:      { 199 1 ---  1A3 1 ---  19A 1 ---  1A4 1 --- }
E301:      { 19B 1 ---  1A5 1 ---  19C 1 ---  1A6 1 --- }
E302:      { 19D 1 ---  1A7 1 ---  19E 1 ---  1A8 1 --- }
E303:      { 19F 1 ---  1A9 1 ---  1A0 1 ---  1AA 1 --- }
E304:      { 26B 1 ---  271 1 ---  26C 1 ---  272 1 --- }
E305:      { 26D 1 ---  273 1 ---  26E 1 ---  274 1 --- }
E306:      { 26F 1 ---  275 1 ---  181 1 ---  276 1 --- }
E307:      { 270 1 ---  277 1 ---  100 1 ---  100 1 --- }
E308:      { 100 1 ---  100 1 ---  100 1 ---  278 1 --- }
E309:      { 100 1 ---  100 1 ---  1AB 1 ---  1B2 1 --- }
E30A:      { 181 1 ---  1B3 1 ---  181 1 ---  1B4 1 --- }
E30B:      { 181 1 ---  1B5 1 ---  181 1 ---  1B6 1 --- }
E30C:      { 1AC 1 ---  1B7 1 ---  1AD 1 ---  1B8 1 --- }
E30D:      { 1AE 1 ---  1B9 1 ---  1AF 1 ---  1BA 1 --- }
E30E:      { 1B0 1 ---  1BB 1 ---  1B1 1 ---  1BC 1 --- }
E30F:      { 279 1 ---  281 1 ---  27A 1 ---  282 1 --- }
E310:      { 27B 1 ---  283 1 ---  27C 1 ---  284 1 --- }
E311:      { 27D 1 ---  285 1 ---  27E 1 ---  286 1 --- }
E312:      { 27F 1 ---  287 1 ---  181 1 ---  288 1 --- }
E313:      { 280 1 ---  289 1 ---  100 1 ---  28A 1 --- }
E314:      { 100 1 ---  100 1 ---  100 1 ---  28B 1 --- }
E315:      { 100 1 ---  100 1 ---  1BD 1 ---  1C8 1 --- }
E316:      { 181 1 ---  181 1 ---  181 1 ---  1C9 1 --- }
E317:      { 1BE 1 ---  1CA 1 ---  1BF 1 ---  1CB 1 --- }
E318:      { 1C0 1 ---  1CC 1 ---  1C1 1 ---  1CD 1 --- }
E319:      { 1C2 1 ---  1CE 1 ---  1C3 1 ---  1CF 1 --- }
E31A:      { 1C4 1 ---  1D0 1 ---  1C5 1 ---  1D1 1 --- }
E31B:      { 1C6 1 ---  1D2 1 ---  1C7 1 ---  1D3 1 --- }
E31C:      { 28C 1 ---  292 1 ---  28D 1 ---  292 1 --- }
E31D:      { 28E 1 ---  100 1 ---  28F 1 ---  293 1 --- }
E31E:      { 290 1 ---  294 1 ---  291 1 ---  100 1 --- }
E31F:      { 100 1 ---  100 1 ---  1D4 1 ---  1E1 1 --- }
E320:      { 1D5 1 ---  1E2 1 ---  1D6 1 ---  1E3 1 --- }
E321:      { 1D7 1 ---  1E4 1 ---  1D8 1 ---  1E5 1 --- }
E322:      { 1D9 1 ---  1E6 1 ---  1DA 1 ---  1E7 1 --- }
E323:      { 1DB 1 ---  1E8 1 ---  1DC 1 ---  1E9 1 --- }
E324:      { 1DD 1 ---  1EA 1 ---  1DE 1 ---  1EB 1 --- }
E325:      { 1DF 1 ---  1EC 1 ---  1E0 1 ---  1ED 1 --- }
E326:      { 1EE 1 ---  1F9 1 ---  1EF 1 ---  1FA 1 --- }
E327:      { 1F0 1 ---  1FB 1 ---  1F1 1 ---  100 1 --- }
E328:      { 1F2 1 ---  1FC 1 ---  1F3 1 ---  105 1 xy- }
E329:      { 1F4 1 ---  1FD 1 ---  1F5 1 ---  1FE 1 --- }
E32A:      { 100 1 ---  100 1 ---  1F6 1 ---  1FF 1 --- }
E32B:      { 1F7 1 ---  200 1 ---  1F8 1 ---  201 1 --- }
E32C:      { 100 1 ---  100 1 ---  100 1 ---  100 1 --- }
E32D:      { 100 1 ---  100 1 ---  100 1 ---  100 1 --- }
E32E:      { 100 1 ---  100 1 ---  100 1 ---  100 1 --- }
E32F:      { 100 1 ---  100 1 ---  100 1 ---  100 1 --- }
E330:      { 00B 0 ---  099 0 ---  00C 0 ---  09A 0 --- }
E331:      { 00D 0 ---  09B 0 ---  01C 0 ---  09C 0 --- }
E332:      { 01D 0 ---  09E 0 ---  026 0 ---  09F 0 --- }
E333:      { 027 0 ---  0A0 0 ---  02C 0 ---  0A1 0 --- }
E334:      { 02D 0 ---  0A2 0 ---  036 0 ---  0A3 0 --- }
E335:      { 037 0 ---  0A4 0 ---  03B 0 ---  0A5 0 --- }
E336:      { 03C 0 ---  0A6 0 ---  03D 0 ---  0A7 0 --- }
E337:      { 082 0 ---  0A8 0 ---  083 0 ---  0A9 0 --- }
E338:      { 084 0 ---  0AA 0 ---  085 0 ---  0AB 0 --- }
E339:      { 086 0 ---  0AC 0 ---  087 0 ---  0AD 0 --- }
E33A:      { 088 0 ---  0AE 0 ---  089 0 ---  0AF 0 --- }
E33B:      { 08A 0 ---  0B0 0 ---  08B 0 ---  0B1 0 --- }
E33C:      { 08C 0 ---  0B2 0 ---  08E 0 ---  0B3 0 --- }
E33D:      { 08F 0 ---  0B4 0 ---  092 0 ---  0B5 0 --- }
E33E:      { 093 0 ---  0B6 0 ---  094 0 ---  0B7 0 --- }
E33F:      { 095 0 ---  0B8 0 ---  096 0 ---  0B9 0 --- }
E340:      { 0BA 0 ---  0DF 0 ---  0BC 0 ---  0E0 0 --- }
E341:      { 0BD 0 ---  0E1 0 ---  0BE 0 ---  0E2 0 --- }
E342:      { 0BF 0 ---  0E3 0 ---  0C0 0 ---  0E4 0 --- }
E343:      { 0C1 0 ---  0E5 0 ---  0C2 0 ---  0E6 0 --- }
E344:      { 0C3 0 ---  0E7 0 ---  0C4 0 ---  0E8 0 --- }
E345:      { 0C5 0 ---  0E9 0 ---  0C6 0 ---  0EE 0 --- }
E346:      { 0C7 0 ---  0EF 0 ---  0C8 0 ---  0F1 0 --- }
E347:      { 0C9 0 ---  0F2 0 ---  0CA 0 ---  0F3 0 --- }
E348:      { 0CB 0 ---  0F4 0 ---  0CC 0 ---  0F5 0 --- }
E349:      { 0CD 0 ---  0F6 0 ---  0CE 0 ---  0F7 0 --- }
E34A:      { 0CF 0 ---  100 0 ---  0D0 0 ---  101 0 --- }
E34B:      { 0D1 0 ---  102 0 ---  0D2 0 ---  103 0 --- }
