E200:      { 100 2 ---  110 2 ---  101 2 ---  111 2 --- }
E201:      { 102 2 ---  112 2 ---  103 2 ---  113 2 --- }
E202:      { 104 2 ---  114 2 ---  105 2 ---  115 2 --- }
E203:      { 106 2 ---  116 2 ---  107 2 ---  117 2 --- }
E204:      { 108 2 ---  118 2 ---  109 2 ---  119 2 --- }
E205:      { 10A 2 ---  11A 2 ---  10B 2 ---  11B 2 --- }
E206:      { 10C 2 ---  11C 2 ---  10D 2 ---  11D 2 --- }
E207:      { 10E 2 ---  11E 2 ---  10F 2 ---  11F 2 --- }
E208:      { 255 2 ---  265 2 ---  256 2 ---  266 2 --- }
E209:      { 257 2 ---  267 2 ---  258 2 ---  268 2 --- }
E20A:      { 259 2 ---  269 2 ---  25A 2 ---  26A 2 --- }
E20B:      { 25B 2 ---  26B 2 ---  25C 2 ---  26C 2 --- }
E20C:      { 25D 2 ---  26D 2 ---  25E 2 ---  26E 2 --- }
E20D:      { 25F 2 ---  26F 2 ---  260 2 ---  270 2 --- }
E20E:      { 261 2 ---  271 2 ---  262 2 ---  272 2 --- }
E20F:      { 263 2 ---  273 2 ---  264 2 ---  274 2 --- }
E210:      { 120 2 ---  12B 2 ---  121 2 ---  12C 2 --- }
E211:      { 122 2 ---  12D 2 ---  123 2 ---  12E 2 --- }
E212:      { 124 2 ---  128 2 ---  125 2 ---  12F 2 --- }
E213:      { 126 2 ---  130 2 ---  127 2 ---  128 2 --- }
E214:      { 128 2 ---  128 2 ---  129 2 ---  131 2 --- }
E215:      { 128 2 ---  132 2 ---  128 2 ---  128 2 --- }
E216:      { 128 2 ---  128 2 ---  128 2 ---  128 2 --- }
E217:      { 12A 2 ---  128 2 ---  128 2 ---  128 2 --- }
E218:      { 275 2 ---  285 2 ---  276 2 ---  286 2 --- }
E219:      { 277 2 ---  287 2 ---  278 2 ---  288 2 --- }
E21A:      { 279 2 ---  289 2 ---  27A 2 ---  28A 2 --- }
E21B:      { 27B 2 ---  28B 2 ---  27C 2 ---  28C 2 --- }
E21C:      { 27D 2 ---  28D 2 ---  27E 2 ---  28E 2 --- }
E21D:      { 27F 2 ---  28F 2 ---  280 2 ---  290 2 --- }
E21E:      { 281 2 ---  291 2 ---  282 2 ---  292 2 --- }
E21F:      { 283 2 ---  293 2 ---  284 2 ---  294 2 --- }
E220:      { 133 2 ---  139 2 ---  134 2 ---  13A 2 --- }
E221:      { 135 2 ---  128 2 ---  128 2 ---  128 2 --- }
E222:      { 136 2 ---  13B 2 ---  137 2 ---  128 2 --- }
E223:      { 128 2 ---  128 2 ---  138 2 ---  128 2 --- }
E224:      { 295 2 ---  2A4 2 ---  128 2 ---  128 2 --- }
E225:      { 296 2 ---  2A5 2 ---  297 2 ---  2A6 2 --- }
E226:      { 298 2 ---  2A7 2 ---  299 2 ---  29B 2 --- }
E227:      { 29A 2 ---  2A8 2 ---  29B 2 ---  29B 2 --- }
E228:      { 29C 2 ---  2A9 2 ---  29D 2 ---  2AA 2 --- }
E229:      { 29E 2 ---  2AB 2 ---  29F 2 ---  2AC 2 --- }
