4700: 0025 { 0F8 0 ---  093 0 ---  0F8 0 ---  094 0 --- }
4701: 0025 { 0F8 3 ---  093 3 ---  0F8 3 ---  094 3 --- }
4702: 0100 { 144 5 ---  0F8 5 ---  145 5 ---  0F8 5 --- }
4703: 0025 { 0F8 6 ---  1C5 6 ---  0F8 6 ---  1C6 6 --- }
4704: 0025 { 0F8 6 ---  1C7 6 ---  0F8 6 ---  1C8 6 --- }
4705: 0025 { 0F8 6 ---  1C6 6 ---  0F8 6 ---  1CA 6 --- }
4706: 0025 { 0F8 6 ---  1C9 6 ---  0F8 6 ---  1C7 6 --- }
4707: 0025 { 0F8 6 ---  1C7 6 ---  0F8 6 ---  1C8 6 --- }
4708: 0025 { 0F8 6 ---  1C7 6 ---  0F8 6 ---  1C6 6 --- }
4709: 0025 { 0F8 6 ---  1CA 6 ---  0F8 6 ---  1CB 6 --- }
470A: 0025 { 192 3 -y-  18C 3 -y-  193 3 -y-  1B3 3 -y- }
470B: 0196 { 0F8 3 ---  19B 3 ---  0F8 3 ---  19C 3 --- }
470C: 019B { 19B 3 ---  19D 3 ---  18E 3 ---  19E 3 --- }
470D: 01A0 { 18E 3 x--  19E 3 x--  19B 3 x--  19D 3 x-- }
470E: 01A5 { 0F8 3 ---  19C 3 x--  0F8 3 ---  19B 3 x-- }
470F: 0025 { 0F8 3 ---  1C6 3 ---  0F8 3 ---  1C5 3 --- }
4710: 0025 { 0F8 2 ---  1D1 2 x--  1D1 2 x--  193 2 --- }
4711: 0025 { 1D1 2 ---  192 2 ---  0F8 2 ---  1D1 2 --- }
4712: 0025 { 1D1 2 xy-  0F8 2 ---  195 2 ---  1C0 2 --- }
4713: 0025 { 194 2 ---  1D0 2 x--  1D1 2 -y-  0F8 2 --- }
4714: 0025 { 0F8 2 ---  0F8 2 ---  1D0 2 ---  1D1 2 xy- }
4715: 0025 { 1C0 2 x--  1D1 2 -y-  0F8 2 ---  0F8 2 --- }
4716: 0025 { 0F8 2 ---  14A 2 ---  0F8 2 ---  14B 2 --- }
4717: 0025 { 0F8 3 ---  14A 3 ---  0F8 3 ---  14B 3 --- }
4718: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4719: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
471A: 0025 { 192 3 -y-  1B3 3 xy-  193 3 -y-  18C 3 xy- }
471B: 01DE { 18C 3 ---  192 3 ---  1B3 3 ---  193 3 --- }
471C: 01E6 { 194 3 ---  192 3 ---  195 3 ---  193 3 --- }
471D: 01E6 { 194 3 ---  192 3 ---  195 3 ---  193 3 --- }
471E: 01E0 { 1B3 3 x--  192 3 ---  18C 3 x--  193 3 --- }
471F: 0100 { 182 3 ---  192 3 ---  183 3 ---  193 3 --- }
